,0
way/422486984-275,way/422486984-400
way/42410916-220,way/42410916-380
way/42507488-220,way/42507488-380
way/42861703-220,way/42861703-380
way/432466512-225,way/432466512-400
way/43303585-275,way/43303585-400
way/43337263-220,way/43337263-400
way/43472283-275,way/43472283-400
way/43688805-220,way/43688805-380
way/43842955-220,way/43842955-400
way/442651900-225,way/442651900-400
way/444069687-225,way/444069687-400
way/448722478-225,way/448722478-400
way/448722484-225,way/86342772-400
way/46092396-220,way/46092396-400
way/46235456-220,way/46235456-400
way/464834617-220,way/464834617-400
way/46584363-220,way/46584363-380
way/467775702-225,way/467775702-400
way/469098816-300,way/469098816-420
way/471732548-220,way/471732548-236
way/4746208-275,way/4746208-400
way/47842260-220,way/47842260-400
way/47911346-220,way/47911346-400
way/48876730-275,way/292371992-400
way/49049745-225,way/49049745-400
way/49049745-380,way/49049745-400
way/491424937-380,way/491424937-400
way/49499923-275,way/49499923-400
way/49510896-225,way/49510896-400
way/49577401-220,way/49577401-380
way/499165542-220,way/499165542-380
way/50319857-220,way/50319857-400
way/50319857-380,way/50319857-400
way/51188420-220,way/51188420-400
way/5174038-220,way/5174038-400
way/517421342-220,way/517421342-380
way/51822825-220,way/51822825-400
way/51854396-300,way/51854396-420
way/51982806-220,way/51982806-400
way/52456886-220,way/52456886-400
way/52564762-220,way/52564762-400
way/52738225-220,way/52738225-380
way/534238983-220,way/534238983-400
way/54359256-220,way/54359256-380
way/55698557-220,way/55698557-225
way/559702819-220,way/559702819-380
way/56137765-220,way/56137765-400
way/56997464-225,way/56997464-400
way/56998024-225,way/56998024-400
way/57384507-220,way/57384507-380
way/576439241-220,way/576439241-400
way/57727004-220,way/57727004-380
way/580568888-225,way/580568888-400
way/580927266-225,way/580927266-400
way/58928252-220,way/58928252-400
way/59026315-220,way/59026315-380
way/590522266-220,way/590522266-380
way/59153311-220,way/59153311-380
way/593535391-220,way/168357739-400
way/59366523-220,way/59366523-380
way/59531071-220,way/59531071-380
way/59556712-220,way/59556712-380
way/59707532-220,way/59707532-380
way/59925390-220,way/59925390-380
way/600395952-220,way/600395952-380
way/60351390-220,way/60351390-400
way/60495669-300,way/60495669-420
way/606842829-220,way/606842829-380
way/60725875-220,way/60725875-380
way/60919237-220,way/60919237-380
way/61712456-220,way/61712456-380
way/61918154-220,way/61918154-380
way/62326314-220,way/62326314-380
way/63114179-220,way/63114179-380
way/635829123-220,way/635829123-400
way/640796702-300,way/640796702-420
way/651711449-220,way/651711449-400
way/65482882-275,way/65482882-400
way/66161634-220,way/66161634-400
way/677413570-220,way/677413570-400
way/681264796-220,way/681264796-400
way/68299044-220,way/68299044-380
way/683892938-220,way/683892938-400
way/68515955-275,way/68515955-400
way/68549340-220,way/68549340-380
way/68589514-225,way/68589514-400
way/691036111-220,way/1262731213-400
way/693745438-220,way/693745438-380
way/69813552-225,way/69813552-400
way/701397734-220,way/701397734-400
way/701436399-220,way/701436399-400
way/71500123-220,way/71500123-380
way/71796402-220,way/71796402-400
way/71933077-225,way/71933077-400
way/71933086-225,way/71933086-400
way/72466334-220,way/72466334-380
way/727225348-220,way/727225348-380
way/729485840-220,way/729485840-400
way/73511619-220,way/73511619-400
way/74384031-220,way/74384031-400
way/75378894-220,way/75378894-380
way/75606778-220,way/75606778-400
way/75902880-220,way/75902880-400
way/761507281-225,way/761507281-400
way/76705565-220,way/76705565-380
way/772234863-220,way/772234863-380
way/77654729-220,way/77654729-400
way/783483874-220,way/783483874-400
way/785730495-275,way/785730495-400
way/788298548-225,way/788298548-400
way/79866837-225,way/79866837-400
way/802058337-220,way/802058337-225
way/80517630-220,way/80517630-380
way/81228088-225,way/81228088-400
way/81540198-220,way/81540198-380
way/81638061-220,way/81638061-225
way/81641090-225,way/81641090-400
way/81641090-380,way/81641090-400
way/81665271-225,way/81665271-400
way/81758476-225,way/81758476-400
way/82078641-220,way/82078641-380
way/82306874-225,way/82306874-400
way/823662702-225,way/823662702-400
way/823662705-225,way/823662705-400
way/82741307-225,way/82741307-400
way/82762493-220,way/82762493-380
way/82767145-220,way/82767145-380
way/82773910-220,way/82773910-400
way/82773910-380,way/82773910-400
way/82805188-225,way/82805188-400
way/829116805-220,way/829116805-380
way/82949228-225,way/82949228-400
way/82967739-225,way/82967739-400
way/830770515-300,way/830770515-420
way/83293593-225,way/83293593-400
way/83726363-225,way/83726363-400
way/84153220-225,way/84153220-400
way/84182609-225,way/84182609-400
way/84452130-225,way/84452130-400
way/84476231-225,way/84476231-400
way/84603564-225,way/84603564-400
way/84696559-220,way/84696559-380
way/85047359-225,way/85047359-400
way/85196861-220,way/85196861-380
way/85198005-225,way/85198005-400
way/85203486-225,way/85203486-400
way/85273680-225,way/85273680-400
way/85523877-220,way/85523877-380
way/85605950-225,way/85605950-400
way/85605959-225,way/85605959-400
way/85817084-220,way/85817084-400
way/85821243-225,way/85821243-400
way/85827397-225,way/85827397-400
way/85827398-225,way/85827398-400
way/85877326-225,way/85877326-400
way/85895367-225,way/85895367-400
way/859708761-400,way/859708761-750
way/85995894-225,way/85995894-400
way/86023818-225,way/86023818-400
way/86071326-275,way/86071326-400
way/86131984-225,way/86131984-400
way/86260748-225,way/86260748-400
way/86342772-225,way/86342772-400
way/86512030-220,way/86512030-400
way/87177559-220,way/87177559-380
way/87204522-275,way/87204522-400
way/87354306-220,way/87354306-380
way/87529551-380,way/87529551-400
way/87653464-220,way/87653464-400
way/87653464-380,way/87653464-400
way/87722999-220,way/87722999-380
way/88144450-220,way/88144450-400
way/88373135-380,way/88373135-400
way/884174267-275,way/884174267-400
way/88760627-220,way/88760627-400
way/88799384-220,way/88799384-380
way/88916034-220,way/88916034-380
way/89022080-225,way/89022080-400
way/89043564-220,way/89043564-380
way/895564309-220,way/190511290-400
way/89573357-275,way/89573357-400
way/89817617-220,way/89817617-400
way/89820062-220,way/89820062-400
way/89827347-220,way/89827347-400
way/90547674-275,way/90547674-400
way/90842395-225,way/90842395-400
way/91854336-220,way/91854336-380
way/91955171-275,way/91955171-400
way/919706969-220,way/577158336-380
way/92419253-275,way/92419253-400
way/92458761-275,way/92458761-400
way/92529432-275,way/92529432-400
way/931793946-220,way/931793946-400
way/93189928-225,way/93189928-400
way/93860115-220,way/93860115-380
way/94004582-220,way/94004582-400
way/940636813-220,DE23-380
way/942448206-220,way/942448206-380
way/942640207-220,way/942640207-380
way/943135226-220,way/943135226-380
way/943595603-220,way/943595603-380
way/94530230-275,way/94530230-400
way/952004951-220,way/952004951-380
